Identification,Date,Zone,ID,Recovery_T,abundance
Eulepetopsis vitrea,135,C,187,2,0
Eulepetopsis vitrea,Pre,H,215,,0
Eulepetopsis vitrea,Pre,H,187,3.1,5
Eulepetopsis vitrea,Pre,H,236,,7
Eulepetopsis vitrea,Pre,W,184,2,13
Eulepetopsis vitrea,Pre,W,232,,28
Eulepetopsis vitrea,Pre,W,224,2.5,1
Eulepetopsis vitrea,Pre,C,201,2.3,14
Eulepetopsis vitrea,Pre,C,204,2,2
Eulepetopsis vitrea,Pre,C,199,2,0
Gorgoleptis spiralis,9,H,2,26.7,0
Gorgoleptis spiralis,9,H,3,23.2,0
Gorgoleptis spiralis,9,H,4,24.7,0
Gorgoleptis spiralis,9,W,6,2.2,2
Gorgoleptis spiralis,9,W,7,2.2,1
Gorgoleptis spiralis,9,W,19,6.5,0
Gorgoleptis spiralis,11,H,30,18.5,0
Gorgoleptis spiralis,11,H,34,27,0
Gorgoleptis spiralis,11,H,29,28,0
Gorgoleptis spiralis,11,W,23,9.6,0
Gorgoleptis spiralis,11,W,24,7,0
Gorgoleptis spiralis,11,W,26,9,0
Gorgoleptis spiralis,11,C,27,3.3,1
Gorgoleptis spiralis,11,C,31,3.3,4
Gorgoleptis spiralis,11,C,35,3.7,3
Gorgoleptis spiralis,22,H,96,10,0
Gorgoleptis spiralis,22,H,103,17.9,0
Gorgoleptis spiralis,22,H,129,14.7,0
Gorgoleptis spiralis,22,W,110,5.8,16
Gorgoleptis spiralis,22,W,111,2.9,27
Gorgoleptis spiralis,22,W,109,2.3,28
Gorgoleptis spiralis,22,C,73,2.4,13
Gorgoleptis spiralis,22,C,64,2.1,4
Gorgoleptis spiralis,22,C,113,2,8
Gorgoleptis spiralis,33,H,S139,2.3,0
Gorgoleptis spiralis,33,H,S133,4.2,0
Gorgoleptis spiralis,33,W,138,2.9,30
Gorgoleptis spiralis,33,W,132,,43
Gorgoleptis spiralis,96,W,156,3.1,3
Gorgoleptis spiralis,96,W,158,2.6,2
Gorgoleptis spiralis,96,W,159,,1
Gorgoleptis spiralis,108,H,83,2.6,1
Gorgoleptis spiralis,108,H,164,2.6,2
Gorgoleptis spiralis,108,H,174,2.7,1
Gorgoleptis spiralis,108,C,170,1.9,0
Gorgoleptis spiralis,108,C,171,2.1,0
Gorgoleptis spiralis,108,C,172,1.9,1
Gorgoleptis spiralis,135,W,183,,0
Gorgoleptis spiralis,135,W,184,,0
Gorgoleptis spiralis,135,W,186,,0
Gorgoleptis spiralis,135,C,180,2,0
Gorgoleptis spiralis,135,C,182,2,0
Gorgoleptis spiralis,135,C,187,2,0
Gorgoleptis spiralis,Pre,H,215,,0
Gorgoleptis spiralis,Pre,H,187,3.1,0
Gorgoleptis spiralis,Pre,H,236,,0
Gorgoleptis spiralis,Pre,W,184,2,0
Gorgoleptis spiralis,Pre,W,232,,0
Gorgoleptis spiralis,Pre,W,224,2.5,0
Gorgoleptis spiralis,Pre,C,201,2.3,0
Gorgoleptis spiralis,Pre,C,204,2,0
Gorgoleptis spiralis,Pre,C,199,2,0
Gorgoleptis emarginatus,9,H,2,26.7,0
Gorgoleptis emarginatus,9,H,3,23.2,0
Gorgoleptis emarginatus,9,H,4,24.7,0
Gorgoleptis emarginatus,9,W,6,2.2,0
Gorgoleptis emarginatus,9,W,7,2.2,0
Gorgoleptis emarginatus,9,W,19,6.5,0
Gorgoleptis emarginatus,11,H,30,18.5,0
Gorgoleptis emarginatus,11,H,34,27,0
Gorgoleptis emarginatus,11,H,29,28,0
Gorgoleptis emarginatus,11,W,23,9.6,1
Gorgoleptis emarginatus,11,W,24,7,0
Gorgoleptis emarginatus,11,W,26,9,2
Gorgoleptis emarginatus,11,C,27,3.3,0
Gorgoleptis emarginatus,11,C,31,3.3,0
Gorgoleptis emarginatus,11,C,35,3.7,0
Gorgoleptis emarginatus,22,H,96,10,0
Gorgoleptis emarginatus,22,H,103,17.9,0
Gorgoleptis emarginatus,22,H,129,14.7,0
Gorgoleptis emarginatus,22,W,110,5.8,3
Gorgoleptis emarginatus,22,W,111,2.9,1
Gorgoleptis emarginatus,22,W,109,2.3,3
Gorgoleptis emarginatus,22,C,73,2.4,1
Gorgoleptis emarginatus,22,C,64,2.1,2
Gorgoleptis emarginatus,22,C,113,2,0
Gorgoleptis emarginatus,33,H,S139,2.3,0
Gorgoleptis emarginatus,33,H,S133,4.2,0
Gorgoleptis emarginatus,33,W,138,2.9,0
Gorgoleptis emarginatus,33,W,132,,6
Gorgoleptis emarginatus,96,W,156,3.1,0
Gorgoleptis emarginatus,96,W,158,2.6,0
Gorgoleptis emarginatus,96,W,159,,0
Gorgoleptis emarginatus,108,H,83,2.6,0
Gorgoleptis emarginatus,108,H,164,2.6,0
Gorgoleptis emarginatus,108,H,174,2.7,0
Gorgoleptis emarginatus,108,C,170,1.9,0
Gorgoleptis emarginatus,108,C,171,2.1,0
Gorgoleptis emarginatus,108,C,172,1.9,0
Gorgoleptis emarginatus,135,W,183,,0
Gorgoleptis emarginatus,135,W,184,,0
Gorgoleptis emarginatus,135,W,186,,0
Gorgoleptis emarginatus,135,C,180,2,0
Gorgoleptis emarginatus,135,C,182,2,0
Gorgoleptis emarginatus,135,C,187,2,0
Gorgoleptis emarginatus,Pre,H,215,,0
Gorgoleptis emarginatus,Pre,H,187,3.1,1
Gorgoleptis emarginatus,Pre,H,236,,0
Gorgoleptis emarginatus,Pre,W,184,2,0
Gorgoleptis emarginatus,Pre,W,232,,0
Gorgoleptis emarginatus,Pre,W,224,2.5,0
Gorgoleptis emarginatus,Pre,C,201,2.3,0
Gorgoleptis emarginatus,Pre,C,204,2,0
Gorgoleptis emarginatus,Pre,C,199,2,0
Laeviphitus sp.,9,H,2,26.7,0
Laeviphitus sp.,9,H,3,23.2,0
Laeviphitus sp.,9,H,4,24.7,0
Laeviphitus sp.,9,W,6,2.2,0
Laeviphitus sp.,9,W,7,2.2,0
Laeviphitus sp.,9,W,19,6.5,0
Laeviphitus sp.,11,H,30,18.5,0
Laeviphitus sp.,11,H,34,27,0
Laeviphitus sp.,11,H,29,28,0
Laeviphitus sp.,11,W,23,9.6,0
Laeviphitus sp.,11,W,24,7,0
Laeviphitus sp.,11,W,26,9,0
Laeviphitus sp.,11,C,27,3.3,0
Laeviphitus sp.,11,C,31,3.3,0
Laeviphitus sp.,11,C,35,3.7,0
Laeviphitus sp.,22,H,96,10,0
Laeviphitus sp.,22,H,103,17.9,0
Laeviphitus sp.,22,H,129,14.7,0
Laeviphitus sp.,22,W,110,5.8,0
Laeviphitus sp.,22,W,111,2.9,0
Laeviphitus sp.,22,W,109,2.3,0
Laeviphitus sp.,22,C,73,2.4,0
Laeviphitus sp.,22,C,64,2.1,0
Laeviphitus sp.,22,C,113,2,0
Laeviphitus sp.,33,H,S139,2.3,0
Laeviphitus sp.,33,H,S133,4.2,0
Laeviphitus sp.,33,W,138,2.9,0
Laeviphitus sp.,33,W,132,,0
Laeviphitus sp.,96,W,156,3.1,0
Laeviphitus sp.,96,W,158,2.6,0
Laeviphitus sp.,96,W,159,,0
Laeviphitus sp.,108,H,83,2.6,0
Laeviphitus sp.,108,H,164,2.6,0
Laeviphitus sp.,108,H,174,2.7,0
Laeviphitus sp.,108,C,170,1.9,0
Laeviphitus sp.,108,C,171,2.1,0
Laeviphitus sp.,108,C,172,1.9,0
Laeviphitus sp.,135,W,183,,0
Laeviphitus sp.,135,W,184,,0
Laeviphitus sp.,135,W,186,,0
Laeviphitus sp.,135,C,180,2,0
Laeviphitus sp.,135,C,182,2,0
Laeviphitus sp.,135,C,187,2,1
Laeviphitus sp.,Pre,H,215,,0
Laeviphitus sp.,Pre,H,187,3.1,0
Laeviphitus sp.,Pre,H,236,,0
Laeviphitus sp.,Pre,W,184,2,0
Laeviphitus sp.,Pre,W,232,,0
Laeviphitus sp.,Pre,W,224,2.5,0
Laeviphitus sp.,Pre,C,201,2.3,0
Laeviphitus sp.,Pre,C,204,2,0
Laeviphitus sp.,Pre,C,199,2,0
Lepetodrilus cristatus,9,H,2,26.7,0
Lepetodrilus cristatus,9,H,3,23.2,0
Lepetodrilus cristatus,9,H,4,24.7,0
Lepetodrilus cristatus,9,W,6,2.2,0
Lepetodrilus cristatus,9,W,7,2.2,0
Lepetodrilus cristatus,9,W,19,6.5,0
Lepetodrilus cristatus,11,H,30,18.5,0
Lepetodrilus cristatus,11,H,34,27,0
Lepetodrilus cristatus,11,H,29,28,0
Lepetodrilus cristatus,11,W,23,9.6,0
Lepetodrilus cristatus,11,W,24,7,0
Lepetodrilus cristatus,11,W,26,9,0
Lepetodrilus cristatus,11,C,27,3.3,0
Lepetodrilus cristatus,11,C,31,3.3,0
Lepetodrilus cristatus,11,C,35,3.7,0
Lepetodrilus cristatus,22,H,96,10,0
Lepetodrilus cristatus,22,H,103,17.9,0
Lepetodrilus cristatus,22,H,129,14.7,0
Lepetodrilus cristatus,22,W,110,5.8,0
Lepetodrilus cristatus,22,W,111,2.9,0
Lepetodrilus cristatus,22,W,109,2.3,0
Lepetodrilus cristatus,22,C,73,2.4,0
Lepetodrilus cristatus,22,C,64,2.1,0
Lepetodrilus cristatus,22,C,113,2,0
Lepetodrilus cristatus,33,H,S139,2.3,0
Lepetodrilus cristatus,33,H,S133,4.2,2
Lepetodrilus cristatus,33,W,138,2.9,0
Lepetodrilus cristatus,33,W,132,,0
Lepetodrilus cristatus,96,W,156,3.1,0
Lepetodrilus cristatus,96,W,158,2.6,0
Lepetodrilus cristatus,96,W,159,,0
Lepetodrilus cristatus,108,H,83,2.6,0
Lepetodrilus cristatus,108,H,164,2.6,0
Lepetodrilus cristatus,108,H,174,2.7,0
Lepetodrilus cristatus,108,C,170,1.9,0
Lepetodrilus cristatus,108,C,171,2.1,0
Lepetodrilus cristatus,108,C,172,1.9,0
Lepetodrilus cristatus,135,W,183,,0
Lepetodrilus cristatus,135,W,184,,0
Lepetodrilus cristatus,135,W,186,,0
Lepetodrilus cristatus,135,C,180,2,0
Lepetodrilus cristatus,135,C,182,2,0
Lepetodrilus cristatus,135,C,187,2,0
Lepetodrilus cristatus,Pre,H,215,,0
Lepetodrilus cristatus,Pre,H,187,3.1,0
Lepetodrilus cristatus,Pre,H,236,,0
Lepetodrilus cristatus,Pre,W,184,2,0
Lepetodrilus cristatus,Pre,W,232,,0
Lepetodrilus cristatus,Pre,W,224,2.5,0
Lepetodrilus cristatus,Pre,C,201,2.3,0
Lepetodrilus cristatus,Pre,C,204,2,0
Lepetodrilus cristatus,Pre,C,199,2,0
Lepetodrilus elevatus,9,H,2,26.7,0
Lepetodrilus elevatus,9,H,3,23.2,0
Lepetodrilus elevatus,9,H,4,24.7,0
Lepetodrilus elevatus,9,W,6,2.2,0
Lepetodrilus elevatus,9,W,7,2.2,0
Lepetodrilus elevatus,9,W,19,6.5,2
Lepetodrilus elevatus,11,H,30,18.5,0
Lepetodrilus elevatus,11,H,34,27,0
Lepetodrilus elevatus,11,H,29,28,0
Lepetodrilus elevatus,11,W,23,9.6,2
Lepetodrilus elevatus,11,W,24,7,0
Lepetodrilus elevatus,11,W,26,9,0
Lepetodrilus elevatus,11,C,27,3.3,0
Lepetodrilus elevatus,11,C,31,3.3,0
Lepetodrilus elevatus,11,C,35,3.7,0
Lepetodrilus elevatus,22,H,96,10,287
Lepetodrilus elevatus,22,H,103,17.9,422
Lepetodrilus elevatus,22,H,129,14.7,7
Lepetodrilus elevatus,22,W,110,5.8,0
Lepetodrilus elevatus,22,W,111,2.9,0
Lepetodrilus elevatus,22,W,109,2.3,15
Lepetodrilus elevatus,22,C,73,2.4,14
Lepetodrilus elevatus,22,C,64,2.1,0
Lepetodrilus elevatus,22,C,113,2,1
Lepetodrilus elevatus,33,H,S139,2.3,392
Lepetodrilus elevatus,33,H,S133,4.2,667
Lepetodrilus elevatus,33,W,138,2.9,2
Lepetodrilus elevatus,33,W,132,,81
Lepetodrilus elevatus,96,W,156,3.1,1
Lepetodrilus elevatus,96,W,158,2.6,0
Lepetodrilus elevatus,96,W,159,,0
Lepetodrilus elevatus,108,H,83,2.6,0
Lepetodrilus elevatus,108,H,164,2.6,0
Lepetodrilus elevatus,108,H,174,2.7,0
Lepetodrilus elevatus,108,C,170,1.9,0
Lepetodrilus elevatus,108,C,171,2.1,0
Lepetodrilus elevatus,108,C,172,1.9,0
Lepetodrilus elevatus,135,W,183,,0
Lepetodrilus elevatus,135,W,184,,0
Lepetodrilus elevatus,135,W,186,,0
Lepetodrilus elevatus,135,C,180,2,0
Lepetodrilus elevatus,135,C,182,2,0
Lepetodrilus elevatus,135,C,187,2,0
Lepetodrilus elevatus,Pre,H,215,,1
Lepetodrilus elevatus,Pre,H,187,3.1,1
Lepetodrilus elevatus,Pre,H,236,,9
Lepetodrilus elevatus,Pre,W,184,2,1
Lepetodrilus elevatus,Pre,W,232,,26
Lepetodrilus elevatus,Pre,W,224,2.5,0
Lepetodrilus elevatus,Pre,C,201,2.3,9
Lepetodrilus elevatus,Pre,C,204,2,0
Lepetodrilus elevatus,Pre,C,199,2,0
Lepetodrilus ovalis,9,H,2,26.7,0
Lepetodrilus ovalis,9,H,3,23.2,0
Lepetodrilus ovalis,9,H,4,24.7,0
Lepetodrilus ovalis,9,W,6,2.2,0
Lepetodrilus ovalis,9,W,7,2.2,0
Lepetodrilus ovalis,9,W,19,6.5,0
Lepetodrilus ovalis,11,H,30,18.5,0
Lepetodrilus ovalis,11,H,34,27,0
Lepetodrilus ovalis,11,H,29,28,0
Lepetodrilus ovalis,11,W,23,9.6,0
Lepetodrilus ovalis,11,W,24,7,1
Lepetodrilus ovalis,11,W,26,9,2
Lepetodrilus ovalis,11,C,27,3.3,0
Lepetodrilus ovalis,11,C,31,3.3,0
Lepetodrilus ovalis,11,C,35,3.7,0
Lepetodrilus ovalis,22,H,96,10,1
Lepetodrilus ovalis,22,H,103,17.9,0
Lepetodrilus ovalis,22,H,129,14.7,0
Lepetodrilus ovalis,22,W,110,5.8,23
Lepetodrilus ovalis,22,W,111,2.9,6
Lepetodrilus ovalis,22,W,109,2.3,4
Lepetodrilus ovalis,22,C,73,2.4,1
Lepetodrilus ovalis,22,C,64,2.1,17
Lepetodrilus ovalis,22,C,113,2,6
Lepetodrilus ovalis,33,H,S139,2.3,0
Lepetodrilus ovalis,33,H,S133,4.2,1
Lepetodrilus ovalis,33,W,138,2.9,11
Lepetodrilus ovalis,33,W,132,,53
Lepetodrilus ovalis,96,W,156,3.1,39
Lepetodrilus ovalis,96,W,158,2.6,0
Lepetodrilus ovalis,96,W,159,,70
Lepetodrilus ovalis,108,H,83,2.6,18
Lepetodrilus ovalis,108,H,164,2.6,18
Lepetodrilus ovalis,108,H,174,2.7,39
Lepetodrilus ovalis,108,C,170,1.9,2
Lepetodrilus ovalis,108,C,171,2.1,15
Lepetodrilus ovalis,108,C,172,1.9,3
Lepetodrilus ovalis,135,W,183,,0
Lepetodrilus ovalis,135,W,184,,1
Lepetodrilus ovalis,135,W,186,,0
Lepetodrilus ovalis,135,C,180,2,0
Lepetodrilus ovalis,135,C,182,2,1
Lepetodrilus ovalis,135,C,187,2,1
Lepetodrilus ovalis,Pre,H,215,,6
Lepetodrilus ovalis,Pre,H,187,3.1,36
Lepetodrilus ovalis,Pre,H,236,,13
Lepetodrilus ovalis,Pre,W,184,2,11
Lepetodrilus ovalis,Pre,W,232,,35
Lepetodrilus ovalis,Pre,W,224,2.5,7
Lepetodrilus ovalis,Pre,C,201,2.3,51
Lepetodrilus ovalis,Pre,C,204,2,4
Lepetodrilus ovalis,Pre,C,199,2,0
Lepetodrilus pustulosus,9,H,2,26.7,0
Lepetodrilus pustulosus,9,H,3,23.2,0
Lepetodrilus pustulosus,9,H,4,24.7,0
Lepetodrilus pustulosus,9,W,6,2.2,0
Lepetodrilus pustulosus,9,W,7,2.2,0
Lepetodrilus pustulosus,9,W,19,6.5,0
Lepetodrilus pustulosus,11,H,30,18.5,0
Lepetodrilus pustulosus,11,H,34,27,0
Lepetodrilus pustulosus,11,H,29,28,0
Lepetodrilus pustulosus,11,W,23,9.6,9
Lepetodrilus pustulosus,11,W,24,7,4
Lepetodrilus pustulosus,11,W,26,9,1
Lepetodrilus pustulosus,11,C,27,3.3,0
Lepetodrilus pustulosus,11,C,31,3.3,0
Lepetodrilus pustulosus,11,C,35,3.7,0
Lepetodrilus pustulosus,22,H,96,10,1
