site n,site,transect,species,diameter cm
4,F,6,other,1.5
4,F,6,other,1.5
4,F,6,other,1
4,F,6,other,1.5
5,E,1,other,4
5,E,1,other,1
5,E,1,other,0.5
5,E,1,other,2
5,E,2,other,1
5,E,3,NA,
5,E,4,NA,
5,E,5,other,1.5
5,E,6,NA,
6,H,1,NA,
6,H,2,NA,
6,H,3,NA,
6,H,4,Echinometra,2.5
6,H,5,NA,
6,H,6,other,2
9,O,1,other,2
9,O,1,other,2
9,O,2,other,1
9,O,2,other,1
9,O,3,NA,
9,O,4,NA,
9,O,5,NA,
9,O,6,NA,
7,B,1,NA,
7,B,2,NA,
7,B,3,NA,
7,B,4,NA,
7,B,5,NA,
7,B,6,NA,
8,A,1,other,1
8,A,1,other,1
8,A,1,other,0.5
8,A,1,other,1
8,A,1,other,1
8,A,1,other,0.5
8,A,1,other,1
8,A,1,other,1
8,A,1,other,1
8,A,1,other,0.5
8,A,1,other,1
8,A,1,other,1
8,A,2,other,0.5
8,A,2,other,1
8,A,2,other,1
8,A,2,other,1
8,A,2,other,0.5
8,A,2,other,1
8,A,2,other,1
8,A,2,other,1
8,A,2,other,1
8,A,2,other,1
8,A,2,other,1
8,A,2,other,0.5
8,A,2,other,0.5
8,A,2,other,0.5
8,A,2,other,0.5
8,A,2,other,1
8,A,2,other,2
8,A,2,other,2
8,A,2,other,2
8,A,2,other,2
8,A,2,other,0.5
8,A,2,other,2
8,A,2,other,1
8,A,3,other,0.25
8,A,3,other,1.5
8,A,3,other,0.5
8,A,3,other,0.5
8,A,3,other,0.3
8,A,3,other,1
8,A,3,other,0.5
8,A,3,other,1.5
8,A,3,other,2
8,A,3,other,1.5
8,A,3,other,1
8,A,3,other,1
8,A,3,other,1.5
8,A,4,other,0.5
8,A,4,other,1
8,A,4,other,1.5
8,A,4,other,1
8,A,4,other,0.5
8,A,4,other,1
8,A,4,other,1
8,A,4,other,1.5
8,A,4,other,1
8,A,4,other,1
8,A,4,other,1.5
8,A,4,other,0.5
8,A,4,other,0.5
8,A,4,Echinometra,2
8,A,4,Echinometra,3
8,A,4,other,0.5
8,A,4,other,0.5
8,A,4,other,0.5
8,A,4,other,0.5
8,A,4,other,2
8,A,4,other,2
8,A,4,other,2
8,A,4,other,1
8,A,4,other,1
8,A,4,other,0.5
8,A,4,other,0.5
8,A,5,other,1
8,A,5,other,1.5
8,A,5,other,1
8,A,5,other,1
8,A,5,other,0.5
8,A,5,other,1
8,A,5,other,1.5
8,A,5,other,1
8,A,5,other,1
8,A,5,other,0.5
8,A,5,other,0.5
8,A,5,other,1
8,A,5,other,1.5
8,A,5,other,0.5
8,A,5,other,0.5
8,A,5,other,0.5
8,A,5,other,0.5
8,A,5,other,0.5
8,A,5,other,0.5
8,A,5,other,1.5
8,A,5,other,1
8,A,5,other,0.5
8,A,5,other,0.5
8,A,5,other,0.5
8,A,6,other,0.5
8,A,6,other,1.5
8,A,6,other,0.5
8,A,6,other,1
8,A,6,other,0.5
8,A,6,other,0.5
8,A,6,other,1
8,A,6,other,1
8,A,6,other,0.5
8,A,6,other,0.5
8,A,6,other,2
8,A,6,other,2
8,A,6,other,2
8,A,6,other,1.5
8,A,6,other,0.5
8,A,6,other,1
8,A,6,other,1
8,A,6,other,1
8,A,6,other,1.5
8,A,6,other,1
8,A,6,other,1
10,C,1,NA,
10,C,2,other,1
10,C,2,other,2
10,C,2,other,1
10,C,2,other,1.5
10,C,2,other,0.5
10,C,2,other,1.5
10,C,2,other,1
10,C,2,other,1
10,C,2,other,2
10,C,2,other,2
10,C,2,other,0.5
10,C,2,other,1.5
10,C,2,other,1
10,C,2,other,1.5
10,C,2,other,1.5
10,C,2,other,0.5
10,C,3,other,0.5
10,C,3,other,1
10,C,3,other,3
10,C,3,other,0.5
10,C,4,other,1
10,C,4,other,2.5
10,C,4,other,0.5
10,C,4,other,2
10,C,4,other,1
10,C,4,Echinometra,2
10,C,5,other,0.5
10,C,6,other,1
10,C,6,other,2
11,V,1,NA,
11,V,2,NA,
11,V,3,NA,
11,V,4,NA,
11,V,5,NA,
11,V,6,NA,
12,X,1,NA,
12,X,2,NA,
12,X,3,Diadema,7
12,X,3,Diadema,3
12,X,4,NA,
12,X,5,NA,
12,X,6,NA,
13,W,1,NA,
13,W,2,NA,
13,W,3,NA,
13,W,4,NA,
13,W,5,NA,
13,W,6,NA,
18,Q,1,NA,
18,Q,2,NA,
18,Q,3,NA,
18,Q,4,NA,
18,Q,5,NA,
18,Q,6,NA,
19,U,1,NA,
19,U,2,other,1
19,U,3,NA,
19,U,4,NA,
19,U,5,NA,
19,U,6,NA,
20,J,1,NA,
20,J,2,NA,
20,J,3,NA,
20,J,4,NA,
20,J,5,NA,
20,J,6,NA,
21,P,1,NA,
21,P,2,NA,
21,P,3,NA,
21,P,4,NA,
21,P,5,NA,
21,P,6,NA,
22,T,1,NA,
22,T,2,NA,
22,T,3,NA,
22,T,4,NA,
22,T,5,NA,
22,T,6,NA,
23,R,1,NA,
23,R,2,NA,
23,R,3,NA,
23,R,4,NA,
23,R,5,NA,
23,R,6,NA,
24,M,1,NA,
24,M,2,NA,
24,M,3,NA,
24,M,4,NA,
24,M,5,NA,
24,M,6,NA,
