site n,site,transect,species,diameter cm
5,A,4,other,0.5
5,A,4,other,1
5,A,4,other,0.5
5,A,4,other,2.5
5,A,4,other,1
5,A,4,other,3.5
5,A,4,other,1
5,A,4,Echinometra,3.5
5,A,4,other,1.5
5,A,4,other,1
5,A,4,Echinometra,0.5
5,A,4,other,1
5,A,4,other,1.5
5,A,4,other,1
5,A,4,other,1
5,A,5,other,2
5,A,5,other,3
5,A,5,other,4
5,A,5,other,3
5,A,5,other,1.5
5,A,5,other,4
5,A,5,other,1.5
5,A,5,other,2
5,A,5,other,3
5,A,5,other,2
5,A,5,other,3
5,A,5,other,3
5,A,5,other,3
5,A,5,other,2
5,A,5,other,2.5
5,A,5,other,1
5,A,5,other,3
5,A,5,other,3
5,A,5,Echinometra,2
5,A,5,other,3.5
5,A,5,other,1
5,A,5,other,3
5,A,5,other,2
5,A,5,other,3
5,A,5,Echinometra,2
5,A,6,Echinometra,3
5,A,6,other,2.5
5,A,6,other,1.5
5,A,6,other,1
5,A,6,Echinometra,3
5,A,6,other,1
5,A,6,other,2
5,A,6,other,2.5
5,A,6,other,2
5,A,6,other,2.5
5,A,6,other,2
5,A,6,other,2
5,A,6,other,1.5
5,A,6,other,2.5
5,A,6,other,1
5,A,6,other,2.5
5,A,6,other,2
5,A,6,other,2
5,A,6,other,1.5
5,A,6,other,2
5,A,6,other,0.5
5,A,6,other,2
5,A,6,other,3
5,A,6,other,3
5,A,6,other,1.5
5,A,6,other,1
5,A,6,other,2.5
5,A,6,other,3
5,A,6,other,0.5
5,A,6,other,2
5,A,6,other,1
5,A,6,other,3
5,A,6,other,2.5
5,A,6,other,2
5,A,6,other,1
5,A,6,other,2.5
5,A,6,other,2.5
5,A,6,other,1.5
5,A,6,other,0.5
5,A,6,other,2
5,A,6,other,2.5
5,A,6,other,2
5,A,6,other,1
5,A,6,other,0.5
5,A,6,other,3
5,A,6,other,0.5
5,A,6,other,3.5
5,A,6,other,2
5,A,6,other,2.5
5,A,6,other,0.5
5,A,6,other,2
5,A,6,other,2.5
5,A,6,other,2
5,A,6,other,1.5
5,A,6,other,1
5,A,6,other,0.5
5,A,6,other,1
5,A,6,other,2
5,A,6,other,2
5,A,6,other,2.5
5,A,6,other,2
5,A,6,other,1.5
5,A,6,other,2
5,A,6,other,1
5,A,6,other,1
5,A,6,other,2
5,A,6,other,1.5
5,A,6,other,3
5,A,6,other,2
5,A,6,other,2.5
5,A,6,other,2
5,A,6,other,2
5,A,6,other,2
5,A,6,other,1.5
5,A,6,other,3
5,A,6,other,2
5,A,6,other,2.5
5,A,6,Echinometra,2
16,U,1,NA,
16,U,2,NA,
16,U,3,NA,
16,U,4,NA,
16,U,5,NA,
16,U,6,NA,
17,B,1,NA,
17,B,2,NA,
17,B,3,NA,
17,B,4,NA,
17,B,5,NA,
17,B,6,NA,
18,N,1,NA,
18,N,2,NA,
18,N,3,NA,
18,N,4,NA,
18,N,5,NA,
18,N,6,NA,
19,Q,1,NA,
19,Q,2,NA,
19,Q,3,NA,
19,Q,4,NA,
19,Q,5,NA,
19,Q,6,NA,
20,V,1,NA,
20,V,2,NA,
20,V,3,NA,
20,V,4,NA,
20,V,5,NA,
20,V,6,NA,
21,E,1,NA,
21,E,2,NA,
21,E,3,NA,
21,E,4,NA,
21,E,5,NA,
21,E,6,NA,
22,W,1,NA,
22,W,2,NA,
22,W,3,NA,
22,W,4,NA,
22,W,5,NA,
22,W,6,NA,
23,T,1,NA,
23,T,2,NA,
23,T,3,NA,
23,T,4,NA,
23,T,5,NA,
23,T,6,NA,
24,I,1,NA,
24,I,2,NA,
24,I,3,NA,
24,I,4,NA,
24,I,5,NA,
24,I,6,NA,
3,H,1,other,2
3,H,1,other,2.5
3,H,1,other,1
3,H,1,other,0.5
3,H,1,other,1.5
3,H,1,other,2
3,H,1,other,1.5
3,H,1,other,1
3,H,1,other,1.5
3,H,1,other,1
3,H,1,other,2
3,H,1,other,1.5
3,H,1,other,0.5
3,H,1,other,1
3,H,1,other,1.5
3,H,1,other,0.5
3,H,1,other,1
3,H,1,other,2
3,H,1,other,1
3,H,2,other,1
3,H,2,other,1.5
3,H,2,other,1
3,H,2,other,1.5
3,H,3,other,0.5
3,H,3,other,0.5
3,H,3,other,2
3,H,3,other,1
3,H,3,Echinometra,1
3,H,3,other,1.5
3,H,3,other,0.5
3,H,3,Echinometra,5
3,H,3,other,2
3,H,3,other,0.5
3,H,3,other,0.5
3,H,3,other,1
3,H,3,Echinometra,3
3,H,3,other,3.5
3,H,3,other,2
3,H,3,other,1
3,H,3,other,2.5
3,H,3,other,2
3,H,3,Echinometra,2
3,H,3,other,0.5
3,H,3,Echinometra,4.5
3,H,3,Echinometra,3
3,H,3,other,1.5
3,H,3,other,2
3,H,3,Echinometra,0.5
3,H,3,Echinometra,1
3,H,3,Echinometra,3.5
3,H,3,other,0.5
3,H,3,Echinometra,2
3,H,3,Echinometra,2
3,H,3,Echinometra,2
3,H,3,Echinometra,2
3,H,3,Echinometra,1
3,H,3,Echinometra,3
3,H,3,other,2
3,H,3,Echinometra,3.5
3,H,3,other,2
3,H,3,Echinometra,1.5
3,H,3,Echinometra,4
3,H,3,Echinometra,2.5
3,H,3,Echinometra,1.5
3,H,3,Echinometra,3
3,H,3,other,1
3,H,3,Echinometra,2
3,H,4,Echinometra,4
3,H,4,Echinometra,1
3,H,4,Echinometra,1
3,H,4,other,1
3,H,4,Echinometra,3
3,H,4,Echinometra,4
3,H,4,Echinometra,1
3,H,4,Echinometra,2
3,H,4,Echinometra,4
3,H,4,other,1
3,H,4,other,1
3,H,4,Echinometra,5
3,H,4,Echinometra,2.5
3,H,4,other,2
3,H,4,Echinometra,5
3,H,4,Echinometra,4.5
3,H,4,other,1
3,H,4,other,7
3,H,4,Echinometra,2.5
3,H,4,Echinometra,1
3,H,4,Echinometra,3
3,H,4,other,1.5
3,H,4,Echinometra,1.5
3,H,4,Echinometra,4
3,H,4,Echinometra,1.5
3,H,4,Echinometra,5
3,H,4,other,2
3,H,4,other,0.5
3,H,4,Echinometra,5
3,H,4,other,1.5
3,H,4,other,2
3,H,4,Echinometra,4
3,H,4,other,2
3,H,4,other,2
3,H,4,Echinometra,5
3,H,4,Echinometra,2.5
3,H,4,other,1.5
3,H,4,other,1.5
3,H,4,Echinometra,2
3,H,4,Echinometra,5.5
3,H,4,Echinometra,4
3,H,5,other,1.5
3,H,5,Echinometra,3
3,H,5,other,0.5
3,H,5,other,2
3,H,5,Echinometra,3.5
3,H,5,other,1
3,H,5,other,1.5
3,H,5,Echinometra,3.5
3,H,5,Echinometra,1
3,H,5,other,1.5
3,H,5,Echinometra,3
3,H,5,Echinometra,2.5
3,H,5,Echinometra,3
3,H,5,Echinometra,3.5
3,H,5,Echinometra,3.5
3,H,5,other,1
3,H,5,other,2
3,H,5,other,3
3,H,5,other,3.5
3,H,5,other,4
3,H,5,other,1.5
3,H,5,Echinometra,3
3,H,5,other,0.5
3,H,5,other,1
3,H,5,Echinometra,2
3,H,5,other,1.5
3,H,5,other,2.5
3,H,5,Echinometra,2
3,H,5,Echinometra,4
3,H,5,other,2
3,H,5,other,2
3,H,5,Echinometra,3.5
3,H,5,Echinometra,3
3,H,5,other,1
3,H,5,other,3
3,H,5,Echinometra,2
3,H,5,Echinometra,2.5
3,H,5,Echinometra,2
3,H,5,other,3
3,H,5,other,3
3,H,5,Echinometra,2.5
3,H,5,Echinometra,4
3,H,6,other,1
3,H,6,other,2
3,H,6,Echinometra,3
3,H,6,Echinometra,2.5
3,H,6,Echinometra,4
3,H,6,Echinometra,2.5
3,H,6,Echinometra,2
3,H,6,Echinometra,2
3,H,6,Echinometra,2
3,H,6,Echinometra,3.5
3,H,6,Echinometra,3
3,H,6,Echinometra,2
3,H,6,other,1
3,H,6,other,1
3,H,6,Echinometra,4
3,H,6,other,2
3,H,6,Echinometra,2.5
3,H,6,other,2
